transaction_id,date,department,expense_category,vendor,amount_inr,cost_center,approved_by,description
TXN00846,2025-04-01,IT,Utilities,State Electricity Board,84000.0,CC-IT-3,EMP1040,Utilities - routine it expense
TXN00003,2025-04-01,HSE,Office Supplies,Local Stationery Mart,8800.0,CC-HSE-1,EMP1032,Office Supplies - routine hse expense
TXN00740,2025-04-01,Logistics,Travel & Conveyance,Air India,26800.0,CC-LOG-3,EMP1015,Travel & Conveyance - routine logistics expense
TXN01698,2025-04-01,Drilling,Contractor Payment,Tata Projects,1266300.0,CC-DRI-1,EMP1039,Contractor Payment - routine drilling expense
TXN01022,2025-04-01,Admin,Contractor Payment,Local Contractor Pvt Ltd,1859600.0,CC-ADM-2,EMP1038,Contractor Payment - routine admin expense
TXN00599,2025-04-02,HR,Equipment Maintenance,BHEL,506700.0,CC-HR-2,EMP1014,Equipment Maintenance - routine hr expense
TXN01208,2025-04-02,IT,Fuel & POL,BPCL,204700.0,CC-IT-3,EMP1009,Fuel & POL - routine it expense
TXN01237,2025-04-02,Admin,Utilities,Municipal Water Dept,89100.0,CC-ADM-2,EMP1037,Utilities - routine admin expense
TXN00575,2025-04-03,Procurement,Travel & Conveyance,Local Taxi Union,6300.0,CC-PRO-3,EMP1041,Travel & Conveyance - routine procurement expense
TXN00671,2025-04-03,Drilling,Office Supplies,Staples India,9200.0,CC-DRI-1,EMP1043,Office Supplies - routine drilling expense
TXN00974,2025-04-03,Logistics,Contractor Payment,Local Contractor Pvt Ltd,222700.0,CC-LOG-2,EMP1037,Contractor Payment - routine logistics expense
TXN01180,2025-04-03,Logistics,Utilities,State Electricity Board,137100.0,CC-LOG-2,EMP1035,Utilities - routine logistics expense
TXN00785,2025-04-03,IT,Training & Seminars,Internal Training Cell,18000.0,CC-IT-3,EMP1044,Training & Seminars - routine it expense
TXN01038,2025-04-03,Admin,Equipment Maintenance,BHEL,167600.0,CC-ADM-1,EMP1037,Equipment Maintenance - routine admin expense
TXN00978,2025-04-03,Admin,Fuel & POL,BPCL,193700.0,CC-ADM-1,EMP1018,Fuel & POL - routine admin expense
TXN00613,2025-04-03,Admin,Travel & Conveyance,Local Taxi Union,42100.0,CC-ADM-3,EMP1034,Travel & Conveyance - routine admin expense
TXN00456,2025-04-03,Procurement,Fuel & POL,IndianOil Corp,163700.0,CC-PRO-1,EMP1008,Fuel & POL - routine procurement expense
TXN00807,2025-04-03,Admin,Fuel & POL,IndianOil Corp,57900.0,CC-ADM-2,EMP1010,Fuel & POL - routine admin expense
TXN01499,2025-04-04,IT,Catering & Hospitality,Taj Catering Services,50900.0,CC-IT-1,EMP1020,Catering & Hospitality - routine it expense
TXN00710,2025-04-04,Drilling,IT Services & Software,Microsoft India,18600.0,CC-DRI-3,EMP1025,IT Services & Software - routine drilling expense
TXN00945,2025-04-04,Logistics,Travel & Conveyance,Local Taxi Union,22000.0,CC-LOG-1,EMP1003,Travel & Conveyance - routine logistics expense
TXN00775,2025-04-04,Procurement,Office Supplies,Local Stationery Mart,7200.0,CC-PRO-2,EMP1032,Office Supplies - routine procurement expense
TXN00927,2025-04-04,HR,Travel & Conveyance,Local Taxi Union,2400.0,CC-HR-2,EMP1036,Travel & Conveyance - routine hr expense
TXN00734,2025-04-05,Admin,Equipment Maintenance,Local Workshop Co,204500.0,CC-ADM-1,EMP1033,Equipment Maintenance - routine admin expense
TXN00312,2025-04-05,Procurement,Utilities,State Electricity Board,75800.0,CC-PRO-2,EMP1026,Utilities - routine procurement expense
TXN01005,2025-04-05,Drilling,Training & Seminars,IIM Institute,12600.0,CC-DRI-3,EMP1046,Training & Seminars - routine drilling expense
TXN00580,2025-04-05,HR,Utilities,Municipal Water Dept,137200.0,CC-HR-1,EMP1028,Utilities - routine hr expense
TXN00227,2025-04-05,Drilling,Training & Seminars,Internal Training Cell,78800.0,CC-DRI-2,EMP1029,Training & Seminars - routine drilling expense
TXN00744,2025-04-05,Drilling,Training & Seminars,Internal Training Cell,26000.0,CC-DRI-3,EMP1016,Training & Seminars - routine drilling expense
TXN00963,2025-04-05,Maintenance,Equipment Maintenance,Larsen & Toubro,512300.0,CC-MAI-1,EMP1014,Equipment Maintenance - routine maintenance expense
TXN01074,2025-04-06,HR,Utilities,State Electricity Board,12400.0,CC-HR-2,EMP1038,Utilities - routine hr expense
TXN00562,2025-04-06,IT,Utilities,State Electricity Board,149100.0,CC-IT-3,EMP1032,Utilities - routine it expense
TXN00482,2025-04-06,Admin,Office Supplies,Local Stationery Mart,1600.0,CC-ADM-1,EMP1037,Office Supplies - routine admin expense
TXN00285,2025-04-06,Drilling,IT Services & Software,TCS,252600.0,CC-DRI-2,EMP1018,IT Services & Software - routine drilling expense
TXN01644,2025-04-06,IT,Fuel & POL,IndianOil Corp,210500.0,CC-IT-2,EMP1027,Fuel & POL - routine it expense
TXN00780,2025-04-06,HR,IT Services & Software,Wipro,275600.0,CC-HR-3,EMP1015,IT Services & Software - routine hr expense
TXN01517,2025-04-06,Maintenance,Office Supplies,Local Stationery Mart,1700.0,CC-MAI-1,EMP1043,Office Supplies - routine maintenance expense
TXN00012,2025-04-06,Drilling,Catering & Hospitality,Local Caterers Assoc,48500.0,CC-DRI-1,EMP1023,Catering & Hospitality - routine drilling expense
TXN01803,2025-04-06,Admin,Travel & Conveyance,Local Taxi Union,42100.0,CC-ADM-3,EMP1034,Travel & Conveyance - routine admin expense (possible duplicate)
TXN00937,2025-04-07,Logistics,Contractor Payment,Tata Projects,1774500.0,CC-LOG-2,EMP1037,Contractor Payment - routine logistics expense
TXN00688,2025-04-07,Maintenance,Fuel & POL,HPCL,86300.0,CC-MAI-1,EMP1021,Fuel & POL - routine maintenance expense
TXN00624,2025-04-07,Production,Equipment Maintenance,Schlumberger,276100.0,CC-PRO-1,EMP1042,Equipment Maintenance - routine production expense
TXN00487,2025-04-07,Logistics,Catering & Hospitality,Taj Catering Services,12500.0,CC-LOG-1,EMP1024,Catering & Hospitality - routine logistics expense
TXN00486,2025-04-07,HSE,Fuel & POL,BPCL,216400.0,CC-HSE-3,EMP1046,Fuel & POL - routine hse expense
TXN00141,2025-04-07,Drilling,Training & Seminars,NIIT,10800.0,CC-DRI-3,EMP1011,Training & Seminars - routine drilling expense
TXN01132,2025-04-08,Finance,Training & Seminars,NIIT,27000.0,CC-FIN-3,EMP1048,Training & Seminars - routine finance expense
TXN01465,2025-04-08,Logistics,Fuel & POL,IndianOil Corp,235400.0,CC-LOG-3,EMP1018,Fuel & POL - routine logistics expense
TXN01260,2025-04-08,Logistics,Utilities,Municipal Water Dept,42600.0,CC-LOG-1,EMP1012,Utilities - routine logistics expense
TXN01372,2025-04-08,Finance,Fuel & POL,IndianOil Corp,176100.0,CC-FIN-3,EMP1021,Fuel & POL - routine finance expense
TXN01231,2025-04-08,Maintenance,Utilities,State Electricity Board,127300.0,CC-MAI-3,EMP1028,Utilities - routine maintenance expense
TXN01093,2025-04-08,Procurement,Travel & Conveyance,IRCTC,10500.0,CC-PRO-3,EMP1019,Travel & Conveyance - routine procurement expense
TXN01064,2025-04-09,Production,Equipment Maintenance,Local Workshop Co,54500.0,CC-PRO-3,EMP1021,Equipment Maintenance - routine production expense
TXN01720,2025-04-09,Production,Utilities,State Electricity Board,70900.0,CC-PRO-2,EMP1038,Utilities - routine production expense
TXN00683,2025-04-10,IT,Training & Seminars,Internal Training Cell,14100.0,CC-IT-1,EMP1021,Training & Seminars - routine it expense
TXN00826,2025-04-10,Logistics,Fuel & POL,HPCL,239700.0,CC-LOG-1,EMP1024,Fuel & POL - routine logistics expense
TXN01663,2025-04-10,IT,IT Services & Software,Wipro,191700.0,CC-IT-1,EMP1030,IT Services & Software - routine it expense
TXNOS001,2025-04-11,Maintenance,Equipment Maintenance,Local Workshop Co,566200.0,CC-MAI-1,EMP1012,Equipment Maintenance - recurring high-cost vendor
TXN01496,2025-04-12,HSE,Utilities,Municipal Water Dept,174600.0,CC-HSE-3,EMP1033,Utilities - routine hse expense
TXN01640,2025-04-12,Procurement,Office Supplies,Local Stationery Mart,3600.0,CC-PRO-2,EMP1042,Office Supplies - routine procurement expense
TXN01382,2025-04-12,Logistics,Utilities,Municipal Water Dept,128100.0,CC-LOG-3,EMP1003,Utilities - routine logistics expense
TXN00221,2025-04-12,Maintenance,IT Services & Software,Microsoft India,262300.0,CC-MAI-1,EMP1023,IT Services & Software - routine maintenance expense
TXN00240,2025-04-12,HSE,Contractor Payment,Local Contractor Pvt Ltd,480100.0,CC-HSE-1,EMP1006,Contractor Payment - routine hse expense
TXN00682,2025-04-12,HR,IT Services & Software,Local IT Vendor,344300.0,CC-HR-2,EMP1020,IT Services & Software - routine hr expense
TXN01551,2025-04-13,Maintenance,Equipment Maintenance,Schlumberger,584500.0,CC-MAI-3,EMP1007,Equipment Maintenance - routine maintenance expense
TXN01751,2025-04-13,Logistics,Utilities,State Electricity Board,97400.0,CC-LOG-3,EMP1035,Utilities - routine logistics expense
TXN01768,2025-04-13,Finance,Catering & Hospitality,Local Caterers Assoc,26800.0,CC-FIN-1,EMP1039,Catering & Hospitality - routine finance expense
TXN01754,2025-04-14,Production,Catering & Hospitality,Local Caterers Assoc,46300.0,CC-PRO-1,EMP1029,Catering & Hospitality - routine production expense
TXN01570,2025-04-14,HSE,Office Supplies,Staples India,3500.0,CC-HSE-3,EMP1005,Office Supplies - routine hse expense
TXN01240,2025-04-14,Finance,Catering & Hospitality,Local Caterers Assoc,41500.0,CC-FIN-3,EMP1002,Catering & Hospitality - routine finance expense
TXN00413,2025-04-14,Finance,IT Services & Software,TCS,7600.0,CC-FIN-1,EMP1025,IT Services & Software - routine finance expense
TXN00419,2025-04-15,Logistics,Utilities,Municipal Water Dept,53800.0,CC-LOG-2,EMP1017,Utilities - routine logistics expense
TXN01338,2025-04-15,HR,Fuel & POL,BPCL,101300.0,CC-HR-1,EMP1012,Fuel & POL - routine hr expense
TXN00851,2025-04-15,Finance,Equipment Maintenance,Schlumberger,452200.0,CC-FIN-1,EMP1017,Equipment Maintenance - routine finance expense
TXN01257,2025-04-15,Drilling,Contractor Payment,Tata Projects,724000.0,CC-DRI-3,EMP1010,Contractor Payment - routine drilling expense
TXN00514,2025-04-15,HR,Travel & Conveyance,Local Taxi Union,23500.0,CC-HR-2,EMP1000,Travel & Conveyance - routine hr expense
TXN01489,2025-04-15,Procurement,Catering & Hospitality,Taj Catering Services,43100.0,CC-PRO-2,EMP1037,Catering & Hospitality - routine procurement expense
TXN01368,2025-04-15,IT,Equipment Maintenance,BHEL,74700.0,CC-IT-2,EMP1045,Equipment Maintenance - routine it expense
TXN00868,2025-04-15,Drilling,Contractor Payment,Tata Projects,480000.0,CC-DRI-2,EMP1012,Contractor Payment - routine drilling expense
TXN01480,2025-04-15,Procurement,Office Supplies,Staples India,3000.0,CC-PRO-3,EMP1022,Office Supplies - routine procurement expense
TXN00698,2025-04-16,Production,Contractor Payment,Tata Projects,1517200.0,CC-PRO-1,EMP1028,Contractor Payment - routine production expense
TXN00787,2025-04-17,Logistics,Office Supplies,Staples India,11100.0,CC-LOG-1,EMP1021,Office Supplies - routine logistics expense
TXN01623,2025-04-17,Logistics,Utilities,Municipal Water Dept,143300.0,CC-LOG-1,EMP1012,Utilities - routine logistics expense
TXN00087,2025-04-17,Logistics,Office Supplies,Local Stationery Mart,7200.0,CC-LOG-2,EMP1031,Office Supplies - routine logistics expense
TXN00202,2025-04-17,HR,Catering & Hospitality,Taj Catering Services,17400.0,CC-HR-2,EMP1011,Catering & Hospitality - routine hr expense
TXN00005,2025-04-17,HR,Contractor Payment,Local Contractor Pvt Ltd,1967300.0,CC-HR-3,EMP1006,Contractor Payment - routine hr expense
TXN00655,2025-04-17,Procurement,Equipment Maintenance,Larsen & Toubro,407200.0,CC-PRO-1,EMP1039,Equipment Maintenance - routine procurement expense
TXN01478,2025-04-18,IT,Office Supplies,Staples India,11000.0,CC-IT-3,EMP1016,Office Supplies - routine it expense
TXN01300,2025-04-18,Procurement,Utilities,Municipal Water Dept,100400.0,CC-PRO-3,EMP1038,Utilities - routine procurement expense
TXN01731,2025-04-18,Admin,Training & Seminars,NIIT,12100.0,CC-ADM-3,EMP1032,Training & Seminars - routine admin expense
TXN01011,2025-04-18,HSE,Catering & Hospitality,Taj Catering Services,9200.0,CC-HSE-2,EMP1030,Catering & Hospitality - routine hse expense
TXN00401,2025-04-18,HR,Catering & Hospitality,Local Caterers Assoc,44400.0,CC-HR-2,EMP1040,Catering & Hospitality - routine hr expense
TXN01762,2025-04-19,Procurement,Fuel & POL,IndianOil Corp,248900.0,CC-PRO-1,EMP1000,Fuel & POL - routine procurement expense
TXN00909,2025-04-19,Admin,IT Services & Software,Local IT Vendor,299000.0,CC-ADM-3,EMP1049,IT Services & Software - routine admin expense
TXN01158,2025-04-19,Production,Fuel & POL,HPCL,82700.0,CC-PRO-2,EMP1048,Fuel & POL - routine production expense
TXN01591,2025-04-19,HR,Training & Seminars,Internal Training Cell,49100.0,CC-HR-1,EMP1022,Training & Seminars - routine hr expense
TXN00542,2025-04-19,Finance,Contractor Payment,Tata Projects,532600.0,CC-FIN-1,EMP1011,Contractor Payment - routine finance expense
TXN00736,2025-04-19,Production,Equipment Maintenance,Schlumberger,484900.0,CC-PRO-1,EMP1027,Equipment Maintenance - routine production expense
TXN00888,2025-04-19,Drilling,Travel & Conveyance,IRCTC,33900.0,CC-DRI-2,EMP1015,Travel & Conveyance - routine drilling expense
TXN01177,2025-04-20,Drilling,Catering & Hospitality,Taj Catering Services,18500.0,CC-DRI-1,EMP1035,Catering & Hospitality - routine drilling expense
TXN00984,2025-04-20,Logistics,Training & Seminars,IIM Institute,56400.0,CC-LOG-1,EMP1044,Training & Seminars - routine logistics expense
TXN00901,2025-04-20,Production,IT Services & Software,Local IT Vendor,37000.0,CC-PRO-2,EMP1016,IT Services & Software - routine production expense
TXN01684,2025-04-20,HR,IT Services & Software,Local IT Vendor,59300.0,CC-HR-1,EMP1041,IT Services & Software - routine hr expense
TXN00363,2025-04-20,Procurement,Training & Seminars,Internal Training Cell,70900.0,CC-PRO-2,EMP1036,Training & Seminars - routine procurement expense
TXN01513,2025-04-20,Procurement,Contractor Payment,Local Contractor Pvt Ltd,1299400.0,CC-PRO-1,EMP1041,Contractor Payment - routine procurement expense
TXN00476,2025-04-20,HR,Equipment Maintenance,Local Workshop Co,226300.0,CC-HR-1,EMP1012,Equipment Maintenance - routine hr expense
TXN00439,2025-04-21,Admin,Equipment Maintenance,Local Workshop Co,427700.0,CC-ADM-2,EMP1043,Equipment Maintenance - routine admin expense
